Date;Open;High;Low;Close;Volume_BTC;Volume_Currency;Weighted Price;Trend_date;Trend
13/09/2011;5.8;6;5.65;5.97;58.37;346.1;5.93;2011/09;1
14/09/2011;5.58;5.72;5.52;5.53;61.15;341.85;5.59;2011/09;1
15/09/2011;5.12;5.24;5;5.13;80.14;408.26;5.09;2011/09;1
16/09/2011;4.82;4.87;4.8;4.85;39.91;193.76;4.85;2011/09;1
17/09/2011;4.87;4.87;4.87;4.87;0.3;1.46;4.87;2011/09;1
18/09/2011;4.87;4.92;4.81;4.92;119.81;579.84;4.84;2011/09;1
19/09/2011;4.9;4.9;4.9;4.9;20;98;4.9;2011/09;1
20/09/2011;4.92;5.66;4.92;5.66;89.28;481.05;5.39;2011/09;1
21/09/2011;5.7;5.79;5.66;5.66;17.63;100.59;5.71;2011/09;1
22/09/2011;5.68;5.72;5.68;5.72;43.78;249.4;5.7;2011/09;1
23/09/2011;5.7;5.72;5.7;5.72;20.68;118.02;5.71;2011/09;1
24/09/2011;5.7;5.76;5.68;5.68;90.59;518.38;5.72;2011/09;1
25/09/2011;6.05;6.05;6.05;6.05;12.22;73.93;6.05;2011/09;1
26/09/2011;6.06;6.06;4.8;4.8;39.58;236.8;5.98;2011/09;1
27/09/2011;4.85;4.92;4.85;4.92;24.35;119.23;4.9;2011/09;1
28/09/2011;4.9;4.91;4.82;4.82;83.05;403.85;4.86;2011/09;1
29/09/2011;4.81;4.82;4.81;4.82;46.96;226.2;4.82;2011/09;1
03/10/2011;4.85;4.87;4.83;4.87;30.58;148.23;4.85;2011/10;1
04/10/2011;4.86;5.3;4.8;4.98;142.52;701.88;4.92;2011/10;1
05/10/2011;4.92;6.25;4.8;4.92;113.72;571.95;5.03;2011/10;1
06/10/2011;4.88;4.99;4.8;4.8;170.84;838.64;4.91;2011/10;1
07/10/2011;4.8;4.81;4.59;4.61;94.64;443.64;4.69;2011/10;1
08/10/2011;4.57;4.57;3.99;3.99;56;249.51;4.46;2011/10;1
09/10/2011;3.89;3.89;3.89;3.89;11;42.79;3.89;2011/10;1
10/10/2011;3.99;4.51;3.99;4.51;132.5;596.03;4.5;2011/10;1
11/10/2011;3.98;4.1;3.98;4.1;78.08;312.24;4;2011/10;1
12/10/2011;3.95;3.99;3.93;3.93;79.52;313.64;3.94;2011/10;1
13/10/2011;3.93;3.97;3.93;3.97;109.62;433.33;3.95;2011/10;1
14/10/2011;4.05;4.05;4.05;4.05;96.98;392.76;4.05;2011/10;1
17/10/2011;3.92;3.92;3.92;3.92;10.24;40.14;3.92;2011/10;1
20/10/2011;2.22;2.29;2.22;2.24;61.97;139.29;2.25;2011/10;1
21/10/2011;2.22;2.27;2.22;2.27;41.46;92.89;2.24;2011/10;1
24/10/2011;2.99;2.99;2.92;2.92;64.54;189.09;2.93;2011/10;1
25/10/2011;2.66;2.72;2.66;2.72;130.3;350.7;2.69;2011/10;1
26/10/2011;2.72;3;2.67;2.69;268.27;719.88;2.68;2011/10;1
28/10/2011;3.07;4.36;3.07;4.2;118.38;445.38;3.76;2011/10;1
29/10/2011;3.69;4.4;3.69;3.95;88.43;342.35;3.87;2011/10;1
30/10/2011;3.85;3.85;3.2;3.5;116.38;427.19;3.67;2011/10;1
31/10/2011;3.25;3.55;3.2;3.3;68.99;226.89;3.29;2011/10;1
01/11/2011;3.32;3.33;3.32;3.33;38.78;128.84;3.32;2011/11;1
04/11/2011;3.27;3.55;3.21;3.55;117.08;389.57;3.33;2011/11;1
05/11/2011;3.21;3.21;3;3;103.51;324.14;3.13;2011/11;1
06/11/2011;2.95;2.95;2.95;2.95;203.39;599.99;2.95;2011/11;1
08/11/2011;3.08;3.08;3.08;3.08;47.47;146.21;3.08;2011/11;1
09/11/2011;3.09;3.3;3.09;3.3;58.86;188.32;3.2;2011/11;1
10/11/2011;3.25;3.3;2.95;3.3;121.67;388.05;3.19;2011/11;1
11/11/2011;3.3;3.3;3.3;3.3;65.43;215.93;3.3;2011/11;1
12/11/2011;3.35;3.35;3.35;3.35;2.79;9.35;3.35;2011/11;1
13/11/2011;3.35;3.35;3.35;3.35;29.49;98.79;3.35;2011/11;1
14/11/2011;2.95;2.95;2.47;2.47;183.4;505.87;2.76;2011/11;1
15/11/2011;2.99;3;2.5;2.5;97.34;256.46;2.63;2011/11;1
16/11/2011;2.51;3;2.51;3;5.62;16.74;2.98;2011/11;1
17/11/2011;3;3;2.5;2.99;17.02;47.36;2.78;2011/11;1
18/11/2011;2.5;2.79;2.5;2.5;88.44;224.29;2.54;2011/11;1
19/11/2011;2.5;2.5;2.43;2.43;48.87;119.55;2.45;2011/11;1
20/11/2011;2.37;2.37;2.37;2.37;11;26.07;2.37;2011/11;1
21/11/2011;2.45;3;2.25;2.25;290.53;707.52;2.44;2011/11;1
22/11/2011;2.53;2.59;2.46;2.59;328.49;811.14;2.47;2011/11;1
24/11/2011;2.54;3;2.54;3;9.14;26.25;2.87;2011/11;1
25/11/2011;2.5;15;2.5;2.75;179.79;566.88;3.15;2011/11;1
26/11/2011;2.77;2.77;2.77;2.77;10.09;27.95;2.77;2011/11;1
28/11/2011;2.67;2.78;2.66;2.66;180.37;486.85;2.7;2011/11;1
29/11/2011;2.69;3.23;2.69;2.72;62.46;173.27;2.77;2011/11;1
30/11/2011;3.19;3.19;3.19;3.19;14.54;46.38;3.19;2011/11;1
01/12/2011;3.46;3.48;3.3;3.42;233.78;805.79;3.45;2011/12;1
02/12/2011;3.45;3.45;3.04;3.04;131.76;414.65;3.15;2011/12;1
03/12/2011;2.93;2.93;2.93;2.93;0.5;1.47;2.93;2011/12;1
05/12/2011;2.82;2.99;2.82;2.93;207.36;612.08;2.95;2011/12;1
06/12/2011;2.9;3.25;2.89;2.98;216.11;659.73;3.05;2011/12;1
07/12/2011;3.05;3.35;3.05;3.3;233.21;746.12;3.2;2011/12;1
08/12/2011;3.27;3.5;2.95;3.3;115.72;366.56;3.17;2011/12;1
10/12/2011;3.2;3.2;3;3.2;12.28;38.31;3.12;2011/12;1
11/12/2011;3.17;3.37;3.17;3.27;157.78;517.14;3.28;2011/12;1
12/12/2011;3.37;3.6;3.37;3.48;75.62;265.34;3.51;2011/12;1
13/12/2011;3.25;3.59;3.25;3.56;66.15;228.23;3.45;2011/12;1
14/12/2011;3.42;3.49;3.42;3.47;90.76;312.38;3.44;2011/12;1
15/12/2011;3.39;3.45;3.39;3.45;102.74;352.96;3.44;2011/12;1
16/12/2011;3.25;3.5;3.25;3.44;84.61;291.12;3.44;2011/12;1
18/12/2011;3.25;3.5;3.25;3.5;17.24;58.59;3.4;2011/12;1
19/12/2011;3.5;3.98;3.5;3.85;134.73;513.29;3.81;2011/12;1
20/12/2011;4.75;4.75;4.53;4.55;94.74;432.98;4.57;2011/12;1
21/12/2011;4.38;4.38;4.38;4.38;20.9;91.54;4.38;2011/12;1
22/12/2011;4.19;4.19;4.17;4.17;8.54;35.71;4.18;2011/12;1
23/12/2011;3.86;4.35;3.84;4.22;149.49;625.81;4.19;2011/12;1
24/12/2011;4.33;4.33;4.33;4.33;27.22;117.88;4.33;2011/12;1
25/12/2011;4.32;4.32;4.27;4.27;24.18;104.08;4.3;2011/12;1
26/12/2011;4.27;4.33;4.27;4.33;56.74;243.74;4.3;2011/12;1
27/12/2011;4.33;4.33;4.29;4.29;58.07;250.34;4.31;2011/12;1
28/12/2011;4.29;4.3;4.25;4.3;35.55;151.72;4.27;2011/12;1
29/12/2011;4.3;4.5;4.3;4.5;36.56;158.98;4.35;2011/12;1
30/12/2011;4.26;4.5;4.21;4.21;56.74;240.14;4.23;2011/12;1
31/12/2011;4.39;4.58;4.39;4.58;95.32;425.32;4.46;2011/12;1
01/01/2012;4.58;5;4.58;5;21.6;105.78;4.9;2012/01;1
02/01/2012;5;5;5;5;19.05;95.24;5;2012/01;1
03/01/2012;5.32;5.32;5.14;5.29;88.04;464.81;5.28;2012/01;1
04/01/2012;4.93;5.57;4.93;5.57;107.23;568.08;5.3;2012/01;1
05/01/2012;5.72;6.65;5.72;6.65;94.8;587.73;6.2;2012/01;1
06/01/2012;6.65;6.9;6;6;33.88;222.81;6.58;2012/01;1
07/01/2012;6.8;6.8;6.8;6.8;0.3;2.01;6.8;2012/01;1
08/01/2012;6.9;7;6.9;7;5;34.6;6.92;2012/01;1
09/01/2012;6.99;6.99;6.23;6.3;66.87;443.04;6.63;2012/01;1
10/01/2012;6.24;7.14;6.24;7.14;62.29;413.2;6.63;2012/01;1
11/01/2012;7.14;7.33;6.25;7;105.36;743.01;7.05;2012/01;1
12/01/2012;6.95;7.38;6.51;6.51;82.3;598.06;7.27;2012/01;1
13/01/2012;6.8;7.36;6.6;6.6;48.97;344.94;7.04;2012/01;1
14/01/2012;6.5;6.5;6.3;6.3;16.84;108.49;6.44;2012/01;1
